mode,scale_family,composition_type,time_step,time_sec,spectral_centroid,rms_energy,spectral_centroid_norm,rms_energy_norm,spectral_centroid_smooth,rms_energy_smooth,spectral_centroid_smooth_norm,rms_energy_smooth_norm
pelog_alternating,Pelog,Alternating,47,2.182676,858.740943,0.011012,0.158854,0.328407,949.741357,0.017078,0.193082,0.509335
pelog_alternating,Pelog,Alternating,48,2.229116,1059.951236,0.015546,0.234534,0.463633,950.085483,0.017084,0.193211,0.509517
pelog_alternating,Pelog,Alternating,49,2.275556,978.772109,0.028462,0.204001,0.848825,933.209415,0.016960,0.186864,0.505810
pelog_alternating,Pelog,Alternating,50,2.321995,608.584025,0.033581,0.064764,1.000000,923.826902,0.016885,0.183335,0.503570
pelog_alternating,Pelog,Alternating,51,2.368435,573.565282,0.028207,0.051592,0.841223,924.593219,0.016861,0.183623,0.502839
pelog_alternating,Pelog,Alternating,52,2.414875,564.653122,0.020818,0.048240,0.620861,924.755875,0.016830,0.183684,0.501930
pelog_alternating,Pelog,Alternating,53,2.461315,592.285921,0.016275,0.058633,0.485381,925.608928,0.016888,0.184005,0.503643
pelog_alternating,Pelog,Alternating,54,2.507755,1689.288955,0.014810,0.471244,0.441674,839.845243,0.016858,0.151747,0.502777
pelog_alternating,Pelog,Alternating,55,2.554195,835.803835,0.013135,0.150227,0.391726,833.602894,0.016903,0.149399,0.504113
pelog_alternating,Pelog,Alternating,56,2.600635,707.338079,0.012496,0.101908,0.372684,895.562804,0.017082,0.172704,0.509454
pelog_alternating,Pelog,Alternating,57,2.647075,599.953441,0.012810,0.061517,0.382027,897.765265,0.017226,0.173532,0.513729
pelog_alternating,Pelog,Alternating,58,2.693515,577.700156,0.012787,0.053147,0.381365,896.714107,0.017431,0.173137,0.519843
pelog_alternating,Pelog,Alternating,59,2.739955,714.023521,0.014443,0.104422,0.430751,881.552955,0.017392,0.167434,0.518682
pelog_alternating,Pelog,Alternating,60,2.786395,862.806341,0.015589,0.160383,0.464920,869.301887,0.016680,0.162826,0.497457
pelog_alternating,Pelog,Alternating,61,2.832834,801.921535,0.015732,0.137483,0.469187,893.735509,0.016049,0.172016,0.478638
pelog_alternating,Pelog,Alternating,62,2.879274,759.139122,0.016367,0.121391,0.488107,898.855662,0.016022,0.173942,0.477827
pelog_alternating,Pelog,Alternating,63,2.925714,720.342114,0.015454,0.106799,0.460899,900.283321,0.016332,0.174479,0.487062
pelog_alternating,Pelog,Alternating,64,2.972154,1173.609923,0.015421,0.277284,0.459898,899.416821,0.016623,0.174153,0.495745
pelog_alternating,Pelog,Alternating,65,3.018594,2336.883955,0.016119,0.714821,0.480708,843.532726,0.016758,0.153134,0.499788
pelog_alternating,Pelog,Alternating,66,3.065034,939.941678,0.015451,0.189396,0.460797,865.950000,0.016888,0.161566,0.503665
pelog_alternating,Pelog,Alternating,67,3.111474,837.717784,0.015112,0.150947,0.450688,892.124509,0.017024,0.171410,0.507709
pelog_alternating,Pelog,Alternating,68,3.157914,756.728201,0.014767,0.120484,0.440413,896.652502,0.017096,0.173114,0.509860
pelog_alternating,Pelog,Alternating,69,3.204354,733.750760,0.014228,0.111842,0.424327,898.870508,0.017135,0.173948,0.511025
pelog_alternating,Pelog,Alternating,70,3.250794,1097.256448,0.020961,0.248566,0.625116,892.958022,0.017065,0.171724,0.508937
pelog_alternating,Pelog,Alternating,71,3.297234,675.968357,0.027663,0.090109,0.825017,878.742251,0.016940,0.166377,0.505208
pelog_alternating,Pelog,Alternating,72,3.343673,593.206297,0.027011,0.058980,0.805558,884.348847,0.016905,0.168486,0.504177
pelog_alternating,Pelog,Alternating,73,3.390113,574.955929,0.022098,0.052115,0.659031,891.199765,0.016866,0.171063,0.503010
pelog_alternating,Pelog,Alternating,74,3.436553,571.607037,0.017522,0.050856,0.522551,896.862021,0.016897,0.173192,0.503917
pelog_alternating,Pelog,Alternating,75,3.482993,1284.149333,0.015735,0.318861,0.469257,876.714541,0.016931,0.165614,0.504930
pelog_alternating,Pelog,Alternating,76,3.529433,1230.828247,0.015208,0.298806,0.453561,796.678558,0.016869,0.135511,0.503087
pelog_alternating,Pelog,Alternating,77,3.575873,690.513297,0.014252,0.095579,0.425043,848.721592,0.016795,0.155085,0.500879
pelog_alternating,Pelog,Alternating,78,3.622313,622.060272,0.013569,0.069832,0.404678,872.486620,0.016610,0.164024,0.495380
pelog_alternating,Pelog,Alternating,79,3.668753,595.773804,0.013043,0.059945,0.388982,882.937088,0.016388,0.167955,0.488759
pelog_alternating,Pelog,Alternating,80,3.715193,578.490923,0.013089,0.053445,0.390347,888.907677,0.016204,0.170201,0.483257
pelog_alternating,Pelog,Alternating,81,3.761633,914.053458,0.015041,0.179658,0.448567,874.358774,0.015640,0.164728,0.466442
pelog_alternating,Pelog,Alternating,82,3.808073,896.157491,0.015584,0.172927,0.464766,888.776796,0.014839,0.170151,0.442538
pelog_alternating,Pelog,Alternating,83,3.854512,833.587231,0.016063,0.149393,0.479041,909.390283,0.014512,0.177905,0.432800
pelog_alternating,Pelog,Alternating,84,3.900952,770.660311,0.016100,0.125725,0.480161,912.112355,0.014627,0.178928,0.436231
pelog_alternating,Pelog,Alternating,85,3.947392,736.164300,0.014882,0.112750,0.443842,913.294332,0.014816,0.179373,0.441876
pelog_alternating,Pelog,Alternating,86,3.993832,1980.802368,0.013970,0.580890,0.416627,877.405214,0.014916,0.165874,0.444846
pelog_alternating,Pelog,Alternating,87,4.040272,1313.018338,0.011425,0.329719,0.340719,843.885767,0.014915,0.153267,0.444826
pelog_alternating,Pelog,Alternating,88,4.086712,965.737561,0.010327,0.199098,0.307978,895.342722,0.014871,0.172621,0.443504
pelog_alternating,Pelog,Alternating,89,4.133152,853.162540,0.010539,0.156756,0.314306,907.828046,0.014784,0.177317,0.440911
pelog_alternating,Pelog,Alternating,90,4.179592,806.278382,0.009684,0.139122,0.288799,914.355625,0.014687,0.179772,0.438026
