mode,scale_family,composition_type,time_step,time_sec,spectral_centroid,rms_energy,spectral_centroid_norm,rms_energy_norm,spectral_centroid_smooth,rms_energy_smooth,spectral_centroid_smooth_norm,rms_energy_smooth_norm
pelog_melodic,Pelog,Melodic,47,2.182676,604.612932,0.015676,0.063270,0.467512,742.695555,0.023157,0.115206,0.690618
pelog_melodic,Pelog,Melodic,48,2.229116,995.363789,0.017807,0.210241,0.531060,737.658415,0.023276,0.113312,0.694180
pelog_melodic,Pelog,Melodic,49,2.275556,987.367250,0.027971,0.207234,0.834187,709.288869,0.022828,0.102641,0.680797
pelog_melodic,Pelog,Melodic,50,2.321995,551.286425,0.031739,0.043213,0.946567,735.465448,0.022359,0.112487,0.666831
pelog_melodic,Pelog,Melodic,51,2.368435,505.720139,0.026763,0.026074,0.798150,746.303098,0.022485,0.116563,0.670578
pelog_melodic,Pelog,Melodic,52,2.414875,512.108210,0.020244,0.028477,0.603749,747.231880,0.022915,0.116913,0.683396
pelog_melodic,Pelog,Melodic,53,2.461315,529.735009,0.016189,0.035106,0.482823,747.053030,0.023254,0.116845,0.693512
pelog_melodic,Pelog,Melodic,54,2.507755,1448.445311,0.023729,0.380657,0.707684,699.203203,0.023114,0.098848,0.689343
pelog_melodic,Pelog,Melodic,55,2.554195,690.750629,0.028901,0.095669,0.861923,700.140036,0.022558,0.099200,0.672767
pelog_melodic,Pelog,Melodic,56,2.600635,574.187358,0.025305,0.051826,0.754692,741.681669,0.022351,0.114825,0.666590
pelog_melodic,Pelog,Melodic,57,2.647075,513.386219,0.020000,0.028957,0.596471,746.171258,0.022644,0.116514,0.675332
pelog_melodic,Pelog,Melodic,58,2.693515,511.904891,0.016329,0.028400,0.486991,745.773155,0.023045,0.116364,0.687282
pelog_melodic,Pelog,Melodic,59,2.739955,1097.306413,0.020148,0.248585,0.600895,723.499467,0.023125,0.107986,0.689653
pelog_melodic,Pelog,Melodic,60,2.786395,744.872721,0.027877,0.116025,0.831381,702.122556,0.022528,0.099946,0.671851
pelog_melodic,Pelog,Melodic,61,2.832834,527.953139,0.028659,0.034436,0.854700,729.811091,0.022024,0.110360,0.656823
pelog_melodic,Pelog,Melodic,62,2.879274,508.571411,0.023164,0.027146,0.690829,735.244566,0.022069,0.112404,0.658170
pelog_melodic,Pelog,Melodic,63,2.925714,506.303393,0.018272,0.026293,0.544928,735.934076,0.022363,0.112663,0.666943
pelog_melodic,Pelog,Melodic,64,2.972154,909.663841,0.016316,0.178007,0.486613,734.599314,0.022617,0.112161,0.674520
pelog_melodic,Pelog,Melodic,65,3.018594,1513.458440,0.021817,0.405110,0.650660,687.820280,0.022287,0.094566,0.664688
pelog_melodic,Pelog,Melodic,66,3.065034,690.427640,0.025980,0.095547,0.774816,712.075364,0.021735,0.103689,0.648209
pelog_melodic,Pelog,Melodic,67,3.111474,596.650881,0.023690,0.060275,0.706523,733.219107,0.021724,0.111642,0.647893
pelog_melodic,Pelog,Melodic,68,3.157914,549.890026,0.019397,0.042687,0.578478,736.882729,0.022082,0.113020,0.658546
pelog_melodic,Pelog,Melodic,69,3.204354,559.829026,0.016032,0.046426,0.478142,737.741865,0.022375,0.113343,0.667307
pelog_melodic,Pelog,Melodic,70,3.250794,1105.057123,0.021661,0.251500,0.646005,708.745589,0.022247,0.102437,0.663472
pelog_melodic,Pelog,Melodic,71,3.297234,614.389650,0.027666,0.066947,0.825095,698.876615,0.021637,0.098725,0.645282
pelog_melodic,Pelog,Melodic,72,3.343673,525.898407,0.026128,0.033663,0.779218,727.264874,0.021315,0.109403,0.635696
pelog_melodic,Pelog,Melodic,73,3.390113,503.039754,0.021270,0.025066,0.634352,730.571190,0.021480,0.110646,0.640611
pelog_melodic,Pelog,Melodic,74,3.436553,512.864632,0.017136,0.028761,0.511043,731.098153,0.021725,0.110844,0.647912
pelog_melodic,Pelog,Melodic,75,3.482993,1175.852318,0.017850,0.278128,0.532356,710.894919,0.021843,0.103245,0.651445
pelog_melodic,Pelog,Melodic,76,3.529433,997.062206,0.025093,0.210880,0.748355,660.158241,0.021530,0.084162,0.642089
pelog_melodic,Pelog,Melodic,77,3.575873,586.658672,0.027144,0.056517,0.809533,701.428886,0.021109,0.099685,0.629534
pelog_melodic,Pelog,Melodic,78,3.622313,529.087598,0.022205,0.034863,0.662222,719.784524,0.021087,0.106589,0.628886
pelog_melodic,Pelog,Melodic,79,3.668753,517.380894,0.017576,0.030460,0.524187,725.178615,0.021293,0.108618,0.635040
pelog_melodic,Pelog,Melodic,80,3.715193,547.493250,0.015678,0.041786,0.467582,726.442137,0.021424,0.109093,0.638945
pelog_melodic,Pelog,Melodic,81,3.761633,1095.718325,0.022230,0.247987,0.662978,701.353765,0.021034,0.099657,0.627291
pelog_melodic,Pelog,Melodic,82,3.808073,574.697716,0.026460,0.052018,0.789134,715.237416,0.020261,0.104879,0.604245
pelog_melodic,Pelog,Melodic,83,3.854512,516.842671,0.023168,0.030257,0.690942,738.825707,0.019979,0.113751,0.595853
pelog_melodic,Pelog,Melodic,84,3.900952,505.599157,0.018686,0.026028,0.557284,741.002594,0.020141,0.114570,0.600673
pelog_melodic,Pelog,Melodic,85,3.947392,498.724868,0.015543,0.023443,0.463540,740.847840,0.020330,0.114511,0.606305
pelog_melodic,Pelog,Melodic,86,3.993832,1515.840546,0.017561,0.406006,0.523715,706.873670,0.020287,0.101733,0.605015
pelog_melodic,Pelog,Melodic,87,4.040272,963.763639,0.023256,0.198356,0.693564,681.426901,0.019747,0.092162,0.588932
pelog_melodic,Pelog,Melodic,88,4.086712,657.771856,0.023524,0.083264,0.701553,725.740877,0.019404,0.108829,0.578685
pelog_melodic,Pelog,Melodic,89,4.133152,585.099452,0.018651,0.055930,0.556250,735.322602,0.019557,0.112433,0.583243
pelog_melodic,Pelog,Melodic,90,4.179592,603.289682,0.013846,0.062772,0.412923,738.975263,0.019829,0.113807,0.591355
