time_step,time_beats,pitch_center_mass,velocity_mean,note_density,pitch_variance,pitch_center_mass_smoothed,pitch_center_mass_derivative
91,45.500000,61.983051,78.666667,3,152.888889,62.146897,0.105532
92,46.000000,64.496689,75.500000,4,140.187500,62.572408,0.434121
93,46.500000,60.642045,88.000000,2,210.250000,63.015139,0.858640
94,47.000000,63.886179,82.000000,3,180.666667,64.289687,0.410957
95,47.500000,64.067729,83.666667,3,180.666667,63.837053,0.117887
96,48.000000,68.355795,92.750000,4,121.500000,64.525462,0.207358
97,48.500000,62.233516,91.000000,4,146.250000,64.251769,-0.289544
98,49.000000,64.084091,88.000000,5,138.160000,63.946375,-0.734200
99,49.500000,62.517711,91.750000,4,151.687500,62.783368,-0.550779
100,50.000000,62.540761,92.000000,4,151.687500,62.844817,-0.127003
101,50.500000,62.540761,92.000000,4,151.687500,62.529361,-0.161685
102,51.000000,62.540761,92.000000,4,151.687500,62.521447,-0.403068
103,51.500000,62.506812,91.750000,4,151.687500,61.723224,-0.570720
104,52.000000,62.478142,91.500000,4,151.687500,61.380007,0.094078
105,52.500000,58.549645,94.000000,3,124.222222,61.911381,0.515006
106,53.000000,60.824675,77.000000,2,156.250000,62.410018,0.484005
107,53.500000,65.197628,84.333333,3,133.555556,62.879390,0.936909
108,54.000000,65.000000,82.000000,3,133.555556,64.283836,0.941032
109,54.500000,64.825000,80.000000,3,133.555556,64.761454,0.044256
110,55.000000,65.571875,80.000000,4,102.687500,64.372348,-0.365386
111,55.500000,63.212766,78.333333,3,116.666667,64.030682,-0.122343
112,56.000000,63.252101,79.333333,3,116.666667,64.127663,-0.215810
113,56.500000,63.291667,80.000000,3,116.666667,63.599062,-0.304221
114,57.000000,65.309904,78.250000,4,102.687500,63.519220,-0.083775
115,57.500000,62.928870,79.666667,3,110.222222,63.431512,-0.102935
116,58.000000,62.813559,78.666667,3,110.222222,63.313350,-0.197717
117,58.500000,62.813559,78.666667,3,110.222222,63.036078,-0.072117
118,59.000000,62.700855,78.000000,3,110.222222,63.169116,-0.082619
119,59.500000,63.923547,81.750000,4,86.187500,62.870839,-0.295078
120,60.000000,63.594059,75.750000,4,86.187500,62.578961,-0.278265
121,60.500000,61.322176,79.666667,3,84.666667,62.314309,-0.384185
122,61.000000,61.354167,80.000000,3,84.666667,61.810591,-0.470769
123,61.500000,61.377593,80.333333,3,84.666667,61.372771,-0.210219
124,62.000000,61.404959,80.666667,3,84.666667,61.390154,0.014184
125,62.500000,61.404959,80.666667,3,84.666667,61.401139,-0.118159
126,63.000000,61.409091,80.666667,3,84.666667,61.153836,-0.187048
127,63.500000,61.409091,80.666667,3,84.666667,61.027042,-0.628382
128,64.000000,60.141079,80.333333,3,122.888889,59.897071,-1.003456
129,64.500000,60.770992,87.333333,3,122.888889,59.020131,-1.020758
130,65.000000,55.755102,73.500000,2,144.000000,57.855554,-0.921396
131,65.500000,57.024390,82.000000,2,144.000000,57.177338,-0.866207
132,66.000000,55.586207,72.500000,2,144.000000,56.123140,-0.449106
133,66.500000,56.750000,80.000000,2,144.000000,56.279126,0.521332
134,67.000000,55.500000,72.000000,2,144.000000,57.165803,0.763963
135,67.500000,56.535032,78.500000,2,144.000000,57.807052,0.785535
136,68.000000,61.457778,75.000000,3,152.888889,58.736873,1.054821
137,68.500000,58.792453,79.500000,2,196.000000,59.916694,1.073344
138,69.000000,61.399103,74.333333,3,152.888889,60.883561,0.474593
139,69.500000,61.399103,74.333333,3,152.888889,60.865880,0.245851
140,70.000000,61.369369,74.000000,3,152.888889,61.375262,0.296294
141,70.500000,61.369369,74.000000,3,152.888889,61.458467,-0.602656
142,71.000000,61.339367,73.666667,3,152.888889,60.169951,-1.113271
143,71.500000,61.815126,79.333333,3,152.888889,59.231926,-1.110297
144,72.000000,54.956522,69.000000,2,144.000000,57.949356,-1.100221
145,72.500000,56.679245,79.500000,2,144.000000,57.031483,-1.154318
146,73.000000,54.956522,69.000000,2,144.000000,55.640721,-0.502145
147,73.500000,56.750000,80.000000,2,144.000000,56.027194,0.011444
148,74.000000,54.861314,68.500000,2,144.000000,55.663608,0.011444
149,74.500000,56.888889,81.000000,2,144.000000,56.050081,0.004368
150,75.000000,54.861314,68.500000,2,144.000000,55.672344,0.020706
151,75.500000,56.888889,81.000000,2,144.000000,56.091492,0.034971
152,76.000000,54.861314,68.500000,2,144.000000,55.742286,0.041704
153,76.500000,56.957055,81.500000,2,144.000000,56.174901,0.041704
154,77.000000,55.142857,70.000000,2,144.000000,55.825695,0.041704
155,77.500000,57.024390,82.000000,2,144.000000,56.258310,0.044006
156,78.000000,55.142857,70.000000,2,144.000000,55.913707,0.015852
157,78.500000,57.024390,82.000000,2,144.000000,56.290014,0.018109
158,79.000000,55.234043,70.500000,2,144.000000,55.949925,0.018109
159,79.500000,57.024390,82.000000,2,144.000000,56.326231,0.026973
160,80.000000,55.323944,71.000000,2,144.000000,56.003871,0.011121
161,80.500000,57.024390,82.000000,2,144.000000,56.348473,0.002257
162,81.000000,55.412587,71.500000,2,144.000000,56.008384,-0.013550
163,81.500000,56.957055,81.500000,2,144.000000,56.321373,-0.013550
164,82.000000,55.323944,71.000000,2,144.000000,55.981284,-0.029316
165,82.500000,56.888889,81.000000,2,144.000000,56.262741,-0.031572
166,83.000000,55.323944,71.000000,2,144.000000,55.918139,-0.036771
167,83.500000,56.819876,80.500000,2,144.000000,56.189199,-0.029954
168,84.000000,55.234043,70.500000,2,144.000000,55.858230,-0.037120
169,84.500000,56.679245,79.500000,2,144.000000,56.114960,-0.039337
170,85.000000,55.234043,70.500000,2,144.000000,55.779556,-0.052396
171,85.500000,56.607595,79.000000,2,144.000000,56.010167,-0.038333
172,86.000000,55.142857,70.000000,2,144.000000,55.702890,-0.038333
173,86.500000,56.387097,77.500000,2,144.000000,55.933501,0.575647
174,87.000000,55.142857,70.000000,2,144.000000,56.854183,0.808476
175,87.500000,56.387097,77.500000,2,144.000000,57.550453,0.842152
176,88.000000,61.211009,72.666667,3,152.888889,58.538488,1.117288
177,88.500000,58.624204,78.500000,2,196.000000,59.785030,1.111167
178,89.000000,61.327273,73.333333,3,152.888889,60.760821,0.498302
179,89.500000,61.375566,73.666667,3,152.888889,60.781633,0.147986
180,90.000000,61.266055,72.666667,3,152.888889,61.056792,-0.124262
181,90.500000,61.315068,73.000000,3,152.888889,60.533110,-0.732244
182,91.000000,60.000000,65.000000,3,152.888889,59.592303,-0.717763
183,91.500000,58.708861,79.000000,2,196.000000,59.097583,-0.722985
184,92.000000,56.671533,68.500000,2,196.000000,58.146334,-0.596379
185,92.500000,58.792453,79.500000,2,196.000000,57.904825,-0.324488
186,93.000000,56.558824,68.000000,2,196.000000,57.497359,0.024766
187,93.500000,58.792453,79.500000,2,196.000000,57.954357,0.049254
188,94.000000,56.671533,68.500000,2,196.000000,57.595866,0.076529
189,94.500000,58.956522,80.500000,2,196.000000,58.107414,0.290815
190,95.000000,57.000000,70.000000,2,196.000000,58.177495,0.456776
191,95.500000,59.116564,81.500000,2,196.000000,59.020966,0.440369
192,96.000000,59.142857,70.000000,2,144.000000,59.058234,0.400621
193,96.500000,60.888889,81.000000,2,144.000000,59.822209,0.384617
194,97.000000,59.142857,70.000000,2,144.000000,59.827467,0.156268
195,97.500000,60.819876,80.500000,2,144.000000,60.134745,-0.039598
196,98.000000,59.142857,70.000000,2,144.000000,59.748271,0.130315
197,98.500000,60.679245,79.500000,2,144.000000,60.395376,0.480850
198,99.000000,58.956522,69.000000,2,144.000000,60.709972,0.489708
199,99.500000,62.378378,74.000000,3,110.222222,61.374793,0.436486
200,100.000000,62.392857,74.666667,3,110.222222,61.582944,0.341340
201,100.500000,62.466960,75.666667,3,110.222222,62.057473,0.127998
202,101.000000,61.720000,66.666667,3,110.222222,61.838940,-0.215219
203,101.500000,61.329167,80.000000,3,84.666667,61.627035,-0.209206
204,102.000000,61.285714,79.333333,3,84.666667,61.420528,-0.129539
205,102.500000,61.333333,80.000000,3,84.666667,61.367957,-0.129243
206,103.000000,61.434426,81.333333,3,84.666667,61.162042,-0.204293
207,103.500000,61.457143,81.666667,3,84.666667,60.959371,-0.207433
208,104.000000,60.299595,82.333333,3,122.888889,60.747176,-0.222304
209,104.500000,60.272358,82.000000,3,122.888889,60.514762,-0.231152
210,105.000000,60.272358,82.000000,3,122.888889,60.284872,-0.119598
211,105.500000,60.272358,82.000000,3,122.888889,60.275565,-0.006175
212,106.000000,60.307692,82.333333,3,122.888889,60.272522,0.058085
213,106.500000,60.253061,81.666667,3,122.888889,60.391735,0.051954
214,107.000000,60.257143,81.666667,3,122.888889,60.376430,-0.022104
215,107.500000,60.868421,88.666667,3,122.888889,60.347528,-0.091121
216,108.000000,60.195833,80.000000,3,122.888889,60.194188,-0.427384
217,108.500000,60.163180,79.666667,3,122.888889,59.492760,-0.862046
218,109.000000,59.486364,73.333333,3,122.888889,58.470096,-0.369176
219,109.500000,56.750000,80.000000,2,144.000000,58.754407,0.288283
220,110.000000,55.755102,73.500000,2,144.000000,59.046662,0.377749
221,110.500000,61.617391,76.666667,3,152.888889,59.509905,0.731513
222,111.000000,61.624454,76.333333,3,152.888889,60.509688,1.116722
223,111.500000,61.802575,77.666667,3,152.888889,61.743349,0.970849
224,112.000000,61.748918,77.000000,3,152.888889,62.451385,0.443254
225,112.500000,61.923404,78.333333,3,152.888889,62.629856,0.379852
226,113.000000,65.157576,82.500000,4,140.187500,63.211088,0.496872
227,113.500000,62.516807,79.333333,3,160.222222,63.623600,0.405008
228,114.000000,64.708738,77.250000,4,140.187500,64.021105,0.070393
229,114.500000,63.811475,81.333333,3,180.666667,63.764387,0.010648
230,115.000000,63.910931,82.333333,3,180.666667,64.042402,0.055126
231,115.500000,63.873984,82.000000,3,180.666667,63.874638,-0.074341
232,116.000000,63.906883,82.333333,3,180.666667,63.893720,0.001713
233,116.500000,63.869919,82.000000,3,180.666667,63.878064,-0.015308
234,117.000000,63.906883,82.333333,3,180.666667,63.863103,-0.440772
235,117.500000,63.832653,81.666667,3,180.666667,62.996520,-1.078617
236,118.000000,63.799180,81.333333,3,180.666667,61.705869,-0.892910
237,118.500000,59.573964,84.500000,2,196.000000,61.210700,-0.463908
238,119.000000,57.416667,72.000000,2,196.000000,60.778053,-0.270154
239,119.500000,61.431034,77.333333,3,152.888889,60.670391,0.096722
240,120.000000,61.669421,80.666667,3,152.888889,60.971498,0.521750
241,120.500000,63.260870,86.250000,4,120.687500,61.713891,0.484486
242,121.000000,61.079498,79.666667,3,148.666667,61.940471,-0.035210
243,121.500000,61.128631,80.333333,3,148.666667,61.643472,-0.455324
244,122.000000,62.563934,76.250000,4,120.687500,61.029822,-0.392734
245,122.500000,60.184426,81.333333,3,122.888889,60.858004,-0.164234
246,123.000000,60.192623,81.333333,3,122.888889,60.701355,-0.300180
247,123.500000,60.220408,81.666667,3,122.888889,60.257644,-0.184829
248,124.000000,60.345382,83.000000,3,122.888889,60.331696,0.073233
249,124.500000,60.345382,83.000000,3,122.888889,60.404109,-0.009519
250,125.000000,60.554688,85.333333,3,122.888889,60.312659,-0.349364
251,125.500000,60.554688,85.333333,3,122.888889,59.705381,-0.765628
252,126.000000,59.763158,76.000000,3,122.888889,58.781402,-0.814568
253,126.500000,57.308989,89.000000,2,132.250000,58.076245,-0.365305
254,127.000000,55.725490,76.500000,2,132.250000,58.050792,-0.260471
255,127.500000,57.028902,86.500000,2,132.250000,57.555303,0.051685
256,128.000000,60.427419,82.666667,3,122.888889,58.154161,0.754040
257,128.500000,57.285714,84.000000,2,144.000000,59.063384,0.766784
258,129.000000,60.303279,81.333333,3,122.888889,59.687729,0.277869
259,129.500000,60.271605,81.000000,3,122.888889,59.619123,0.229367
260,130.000000,60.150628,79.666667,3,122.888889,60.146463,0.218559
261,130.500000,60.084388,79.000000,3,122.888889,60.056242,-0.116415
262,131.000000,59.922414,77.333333,3,122.888889,59.913632,-0.447658
263,131.500000,59.852174,76.666667,3,122.888889,59.160926,-0.834792
264,132.000000,59.558559,74.000000,3,122.888889,58.244049,-0.782756
265,132.500000,56.387097,77.500000,2,144.000000,57.595415,-0.768276
266,133.000000,55.500000,72.000000,2,144.000000,56.707498,-0.710926
267,133.500000,56.679245,79.500000,2,144.000000,56.173564,-0.364418
268,134.000000,55.412587,71.500000,2,144.000000,55.978662,0.048255
269,134.500000,56.888889,81.000000,2,144.000000,56.270073,-0.042642
270,135.000000,55.412587,71.500000,2,144.000000,55.893379,-0.039073
271,135.500000,56.957055,81.500000,2,144.000000,56.191926,0.438302
272,136.000000,54.795775,71.000000,2,156.250000,56.769982,0.407307
273,136.500000,56.905325,84.500000,2,156.250000,57.006540,0.407284
274,137.000000,59.779167,80.000000,3,133.555556,57.584550,0.802897
275,137.500000,56.595376,86.500000,2,144.000000,58.612334,0.823359
276,138.000000,59.847107,80.666667,3,133.555556,59.231269,0.334373
277,138.500000,59.934694,81.666667,3,133.555556,59.281081,0.410210
278,139.000000,60.000000,82.333333,3,133.555556,60.051688,0.448024
279,139.500000,60.028226,82.666667,3,133.555556,60.177128,0.035473
280,140.000000,60.448413,84.000000,3,122.888889,60.122634,-0.280286
281,140.500000,60.474308,84.333333,3,122.888889,59.616556,-0.683312
282,141.000000,59.662222,75.000000,3,122.888889,58.756009,-0.733448
283,141.500000,57.469613,90.500000,2,132.250000,58.149660,-0.763509
284,142.000000,55.725490,76.500000,2,132.250000,57.228992,-0.690243
285,142.500000,57.416667,90.000000,2,132.250000,56.769173,-0.430717
286,143.000000,55.870968,77.500000,2,132.250000,56.367558,-0.078943
287,143.500000,57.363128,89.500000,2,132.250000,56.611287,-0.066299
288,144.000000,55.461538,78.000000,2,144.000000,56.234960,-0.086496
289,144.500000,56.944134,89.500000,2,144.000000,56.438295,-0.081142
290,145.000000,55.535032,78.500000,2,144.000000,56.072675,-0.045913
291,145.500000,56.887640,89.000000,2,144.000000,56.346469,0.003243
292,146.000000,55.535032,78.500000,2,144.000000,56.079162,-0.004106
293,146.500000,56.830508,88.500000,2,144.000000,56.338257,0.001543
294,147.000000,55.607595,79.000000,2,144.000000,56.082248,-0.010079
295,147.500000,56.830508,88.500000,2,144.000000,56.318099,-0.011622
296,148.000000,55.607595,79.000000,2,144.000000,56.059003,-0.024790
297,148.500000,56.714286,87.500000,2,144.000000,56.268519,-0.032139
298,149.000000,55.535032,78.500000,2,144.000000,55.994725,-0.044168
299,149.500000,56.655172,87.000000,2,144.000000,56.180182,-0.032546
300,150.000000,55.461538,78.000000,2,144.000000,55.929633,-0.037601
301,150.500000,56.534884,86.000000,2,144.000000,56.104980,0.434253
302,151.000000,55.461538,78.000000,2,144.000000,56.798139,0.477671
303,151.500000,56.411765,85.000000,2,144.000000,57.060322,0.474311
304,152.000000,60.120968,82.666667,3,133.555556,57.746761,0.790454
305,152.500000,56.772455,83.500000,2,156.250000,58.641230,0.790159
306,153.000000,59.967078,81.000000,3,133.555556,59.327078,0.304556
307,153.500000,59.933884,80.666667,3,133.555556,59.250342,0.206008
308,154.000000,59.841004,79.666667,3,133.555556,59.739094,-0.146599
309,154.500000,59.737288,78.666667,3,133.555556,58.957144,-0.264099
310,155.000000,59.216216,74.000000,3,133.555556,59.210895,-0.042575
311,155.500000,56.057325,78.500000,2,156.250000,58.871994,-0.028957
312,156.000000,61.202643,75.666667,3,164.666667,59.152981,0.333094
313,156.500000,58.146497,78.500000,2,210.250000,59.538182,0.694940
314,157.000000,61.142222,75.000000,3,164.666667,60.542860,0.490147
315,157.500000,61.142222,75.000000,3,164.666667,60.518475,0.287890
316,158.000000,61.080717,74.333333,3,164.666667,61.118640,0.305416
317,158.500000,61.080717,74.333333,3,164.666667,61.129307,-0.081028
318,159.000000,61.147321,74.666667,3,164.666667,60.956584,-0.282777
319,159.500000,61.195556,75.000000,3,164.666667,60.563753,-0.593849
320,160.000000,60.278607,67.000000,3,152.888889,59.768886,-0.562166
321,160.500000,59.116564,81.500000,2,196.000000,59.439422,0.080712
