time_step,time_beats,pitch_center_mass,velocity_mean,note_density,pitch_variance,pitch_center_mass_smoothed,pitch_center_mass_derivative
90,45.000000,69.293059,77.800000,5,139.200000,71.032523,-1.274561
91,45.500000,67.969925,88.666667,3,203.555556,69.922562,-0.813863
92,46.000000,68.496503,71.500000,4,171.000000,69.404797,0.011456
93,46.500000,68.564014,72.250000,4,171.000000,69.945473,0.660464
94,47.000000,72.700483,82.800000,5,119.040000,70.725726,0.727594
95,47.500000,71.996441,93.666667,3,184.888889,71.400662,0.533911
96,48.000000,71.871186,73.750000,4,144.687500,71.793547,0.628833
97,48.500000,71.871186,73.750000,4,144.687500,72.658328,0.764983
98,49.000000,70.528436,84.400000,5,151.360000,73.323514,0.674695
99,49.500000,77.024390,82.000000,2,36.000000,74.007718,0.562235
100,50.000000,75.322368,50.666667,3,88.222222,74.447984,0.443010
101,50.500000,75.292208,51.333333,3,88.222222,74.893737,-0.415733
102,51.000000,74.072519,65.500000,4,66.250000,73.616519,-1.114294
103,51.500000,72.757202,81.000000,3,46.222222,72.665149,-1.079805
104,52.000000,70.638298,47.000000,3,96.000000,71.456910,-0.909213
105,52.500000,70.565517,48.333333,3,96.000000,70.846722,-0.662781
106,53.000000,69.251012,61.750000,4,72.187500,70.131348,-0.358503
107,53.500000,71.021583,69.500000,2,42.250000,70.129715,-0.011913
108,54.000000,69.180328,61.000000,4,72.187500,70.107521,0.213408
109,54.500000,70.630137,48.666667,3,96.000000,70.556531,0.043748
110,55.000000,70.454545,44.000000,3,96.000000,70.195016,-0.089758
111,55.500000,71.496063,63.500000,2,36.000000,70.377015,0.003986
112,56.000000,69.214008,64.250000,4,78.250000,70.202988,-0.033928
113,56.500000,70.090323,51.666667,3,104.222222,70.309159,-0.109593
114,57.000000,69.760000,50.000000,3,104.222222,69.983803,-0.099014
115,57.500000,70.985401,68.500000,2,42.250000,70.111131,-0.983481
116,58.000000,69.869281,51.000000,3,104.222222,68.016840,-2.057545
117,58.500000,69.850649,51.333333,3,104.222222,65.996040,-1.150117
118,59.000000,59.618868,66.250000,4,180.000000,65.716607,-0.171161
119,59.500000,59.656000,83.333333,3,224.000000,65.653718,-0.111670
120,60.000000,69.588235,51.000000,3,96.000000,65.493266,1.127812
121,60.500000,69.554839,51.666667,3,96.000000,67.909342,2.160957
122,61.000000,69.048387,62.000000,4,78.250000,69.815179,0.911646
123,61.500000,71.699248,66.500000,2,36.000000,69.732634,0.049722
124,62.000000,69.185185,60.750000,4,78.250000,69.914624,0.349793
125,62.500000,69.175510,61.250000,4,78.250000,70.432219,0.143418
126,63.000000,70.464789,47.333333,3,104.222222,70.201460,0.079224
127,63.500000,71.636364,66.000000,2,36.000000,70.590668,0.704325
128,64.000000,70.545455,44.000000,3,96.000000,71.610111,1.030185
129,64.500000,71.131222,55.250000,4,75.000000,72.651038,0.814605
130,65.000000,74.272727,44.000000,3,131.555556,73.239321,0.703232
131,65.500000,75.669421,60.500000,2,36.000000,74.057502,0.753747
132,66.000000,74.577778,45.000000,3,96.000000,74.746814,0.473633
133,66.500000,74.636364,44.000000,3,96.000000,75.004768,0.022905
134,67.000000,74.577778,45.000000,3,96.000000,74.792623,-0.095194
135,67.500000,75.562500,64.000000,2,36.000000,74.814381,-0.320268
136,68.000000,74.608696,46.000000,3,96.000000,74.152087,-0.585800
137,68.500000,74.686567,44.666667,3,96.000000,73.642781,-0.750033
138,69.000000,71.324895,59.250000,4,52.000000,72.652021,-0.895380
139,69.500000,72.031250,64.000000,2,36.000000,71.852021,-0.803829
