time_step,time_beats,pitch_center_mass,velocity_mean,note_density,pitch_variance,pitch_center_mass_smoothed,pitch_center_mass_derivative
90,45.000000,67.464203,86.600000,5,196.000000,67.508677,0.782186
91,45.500000,67.639908,87.200000,5,196.000000,68.111813,0.562603
92,46.000000,69.149805,85.666667,6,185.222222,68.633884,0.585824
93,46.500000,69.409910,88.800000,5,221.840000,69.283461,0.649914
94,47.000000,69.505593,89.400000,5,221.840000,69.933713,0.146538
95,47.500000,70.712088,91.000000,5,257.360000,69.576536,-0.200495
96,48.000000,70.891167,90.571429,7,175.265306,69.532722,-0.185975
97,48.500000,67.363924,90.285714,7,202.204082,69.204586,-0.497098
98,49.000000,69.190840,93.571429,7,195.265306,68.538526,-0.735996
99,49.500000,67.864912,95.000000,6,192.555556,67.732595,-0.474918
100,50.000000,67.381786,95.166667,6,178.888889,67.588691,-0.338767
101,50.500000,66.861511,92.666667,6,178.888889,67.055060,-0.487127
102,51.000000,66.644404,92.333333,6,172.472222,66.614436,-0.632744
103,51.500000,66.522686,91.833333,6,172.472222,65.789573,-0.399176
104,52.000000,65.661792,91.166667,6,149.583333,65.816084,0.166206
105,52.500000,63.257471,87.000000,5,153.040000,66.121985,0.301619
106,53.000000,66.994065,84.250000,4,150.687500,66.419322,0.376313
107,53.500000,68.173913,87.400000,5,127.840000,66.874612,0.688498
108,54.000000,68.009368,85.400000,5,127.840000,67.796318,0.445427
109,54.500000,67.938242,84.200000,5,127.840000,67.765466,-0.122652
110,55.000000,67.866000,83.333333,6,106.805556,67.551014,-0.114437
111,55.500000,66.839806,82.400000,5,121.760000,67.536592,-0.128436
112,56.000000,67.101655,84.600000,5,121.760000,67.294142,-0.244879
113,56.500000,67.937255,85.000000,6,106.805556,67.046833,-0.143027
114,57.000000,66.725995,85.400000,5,113.440000,67.008088,-0.062951
115,57.500000,66.629454,84.200000,5,113.440000,66.920931,-0.156787
116,58.000000,66.646081,84.200000,5,113.440000,66.694513,-0.109752
117,58.500000,66.665871,83.800000,5,113.440000,66.701427,-0.073104
118,59.000000,66.805164,85.200000,5,113.440000,66.548306,-0.148194
119,59.500000,66.760563,82.833333,6,94.888889,66.405038,-0.157370
120,60.000000,65.863850,85.200000,5,104.240000,66.233566,-0.164827
121,60.500000,65.929742,85.400000,5,104.240000,66.075384,-0.166631
122,61.000000,65.808511,84.600000,5,104.240000,65.900304,-0.084401
123,61.500000,66.014252,84.200000,5,110.240000,65.906582,0.001751
124,62.000000,65.885167,83.600000,5,110.240000,65.903807,0.014155
125,62.500000,65.895238,84.000000,5,110.240000,65.934893,-0.190533
126,63.000000,65.915865,83.200000,5,110.240000,65.522740,-0.411154
127,63.500000,65.963942,83.200000,5,110.240000,65.112586,-0.317386
128,64.000000,63.953488,78.833333,6,124.583333,64.887969,-0.236594
129,64.500000,63.834395,78.500000,6,124.583333,64.639399,-0.257187
130,65.000000,64.772152,79.000000,4,219.000000,64.373594,-0.074748
131,65.500000,64.673016,78.750000,4,219.000000,64.489903,0.140538
132,66.000000,64.634921,78.750000,4,219.000000,64.654670,0.076054
133,66.500000,64.535032,78.500000,4,219.000000,64.642011,0.138491
134,67.000000,64.658228,79.000000,4,219.000000,64.931651,0.293388
135,67.500000,64.708861,79.000000,4,219.000000,65.228787,0.308196
136,68.000000,66.121212,79.200000,5,188.160000,65.548043,0.201693
137,68.500000,66.120603,79.600000,5,188.160000,65.632174,0.101505
138,69.000000,66.131313,79.200000,5,188.160000,65.751053,-0.033490
139,69.500000,65.078880,78.600000,5,160.000000,65.565195,-0.164341
140,70.000000,65.303258,79.800000,5,160.000000,65.422371,-0.158599
141,70.500000,65.191919,79.200000,5,160.000000,65.247997,-0.246030
142,71.000000,65.406484,80.200000,5,160.000000,64.930311,-0.340125
143,71.500000,65.259446,79.400000,5,160.000000,64.567748,-0.340979
144,72.000000,63.490446,78.500000,4,180.000000,64.248352,-0.342251
145,72.500000,63.490446,78.500000,4,180.000000,63.883245,-0.369143
146,73.000000,63.594937,79.000000,4,180.000000,63.510066,-0.223503
147,73.500000,63.580952,78.750000,4,180.000000,63.436239,-0.020244
148,74.000000,63.393548,77.500000,4,180.000000,63.469578,0.017686
149,74.500000,63.121311,76.250000,4,180.000000,63.471610,-0.001808
150,75.000000,63.657143,78.750000,4,180.000000,63.465963,0.010688
