mode,midi_exists,error,correlation,correlation_pvalue,spearman_correlation,spearman_pvalue,optimal_lag,lag_correlation,phase_separation,directional_agreement,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,unique_pitches,velocity_mean,velocity_std,velocity_min,velocity_max,pitch_mean_el_nino,pitch_mean_la_nina,pitch_mean_neutral
pelog_layered,True,,-0.08769216118344131,1.28751882785431e-14,-0.07655249646123219,1.75683774850191e-11,-12,-0.09885880808488415,0.2145841414516141,50.41916167664671,68.79719371183577,9.666065409433052,39,91,52,22,84.90074054826556,16.095725749246068,60,127,67.39948119325551,69.62869022869023,68.83866666666667
pelog_alternating,True,,-0.08288431524670137,0.00013459385074481706,-0.08107055805665524,0.00018840918024871591,-8,-0.09994023311063127,0.24942739602135106,50.15060240963855,66.72366556447804,11.349544518280153,39,91,52,22,84.20264525271611,15.633588846769841,60,127,64.87529411764706,67.80576631259484,66.79380445304938
pelog_melodic,True,,-0.05421848402401305,0.0027551312749897736,0.05370985408750222,0.0030200604078960453,12,-0.10863467384029295,0.10685301095158037,54.891304347826086,67.58811946176567,6.990595443539834,39,75,36,12,83.10928782408926,12.843055652318064,60,119,66.93377483443709,67.7133891213389,67.77336919973101
pelog_spectral,True,,-0.07092387247652368,2.0181861245993907e-05,-0.046106201618293464,0.005619599682398715,-12,-0.07580896881790825,0.1293999819507021,50.142450142450144,68.77371048252911,10.978819771272766,37,91,54,22,72.72518025513034,34.89827803287274,8,127,67.70891364902506,69.1863354037267,68.94378194207836
slendro_layered,True,,-0.08432585194710496,1.2618428713880414e-13,-0.07660787139395384,1.698927658515817e-11,-12,-0.09621061490331144,0.20951452277250737,50.538922155688624,69.24139275042224,9.719473669511714,27,91,64,22,84.90074054826556,16.095725749246068,60,127,67.91634241245136,70.08316008316008,69.2464
slendro_alternating,True,,-0.09599559944007993,9.668688096350547e-06,-0.0845883734186456,9.752393083103411e-05,-7,-0.10585088880152367,0.2746446200579676,50.0,67.06660368445914,11.593647554525704,27,91,64,22,84.20264525271611,15.633588846769841,60,127,64.9835294117647,68.3019726858877,67.13552758954502
slendro_melodic,True,,-0.06358728672166056,0.00044456489732368573,0.052455023821134955,0.003775861752386207,12,-0.10492134583876586,0.12052833972906991,55.16304347826087,67.97505743354118,7.285722611795299,27,75,48,12,83.10928782408926,12.843055652318064,60,119,67.22350993377484,68.15062761506276,68.16745124411567
slendro_spectral,True,,-0.06992749083843902,2.6359412486565584e-05,-0.046106201618293464,0.005619599682398715,-12,-0.07432832268714862,0.12485352344835345,50.142450142450144,69.22212978369384,11.041808738732838,38,91,53,22,72.72518025513034,34.89827803287274,8,127,68.16852367688023,69.6024844720497,69.40829074389552
