mode,success,brightness,intensity,dynamic_range,energy_variation,brightness_stability,percussiveness,high_freq_content,spectral_complexity,temporal_regularity,spectral_flux,duration_sec,sample_rate,num_samples,avg_spectral_centroid,avg_rms_energy,brightness_rank,intensity_rank,dynamic_range_rank,energy_variation_rank,brightness_stability_rank,percussiveness_rank,high_freq_content_rank,spectral_complexity_rank,temporal_regularity_rank,spectral_flux_rank,scale_family,composition_type
pelog_layered,True,0.12380734813410982,0.020810543,2.2630014,0.31452516,0.43054246163961757,0.06465789261672873,0.19957420271173493,1393.2464952676457,0.95190495,386.29,486.36371882086166,22050,10724320,1238.0734813410982,0.020810543,4,7,3,3,3,6,3,7,8,3,Pelog,Layered
pelog_alternating,True,0.10632059409809597,0.012968357,2.936088,0.39741555,0.47727515236035023,0.055010807198460986,0.17148073997852542,1290.4866956057558,0.46697658,290.10727,486.5639909297052,22050,10728736,1063.2059409809597,0.012968357,2,5,5,6,7,5,2,4,3,1,Pelog,Alternating
pelog_melodic,True,0.08091146815183839,0.018008506,2.1842427,0.27966648,0.35507624897699636,0.04053649312354385,0.1236891222952709,1095.5793463815796,0.9178512,331.18826,468.40453514739227,22050,10328320,809.1146815183839,0.018008506,1,6,2,1,2,1,1,1,7,2,Pelog,Melodic
pelog_spectral,True,0.12701282053018856,0.011855908,2.961471,0.39728403,0.44808881667554457,0.05308687051224019,0.20203590440374028,1253.054983099024,0.75083345,570.88354,468.0678458049887,22050,10320896,1270.1282053018856,0.011855908,5,3,6,5,4,2,5,2,5,8,Pelog,Spectral
slendro_layered,True,0.1863371556443971,0.022293065,2.1549706,0.306245,0.31536725378075037,0.13386613448437654,0.3647638026926733,1960.6783277825236,0.89757586,556.47736,476.32689342403626,22050,10503008,1863.371556443971,0.022293065,8,8,1,2,1,8,8,8,6,6,Slendro,Layered
slendro_alternating,True,0.12327472370113007,0.011332508,3.4880948,0.5620389,0.6152357950941442,0.07399232935504509,0.210696441628077,1370.108714374218,0.38816136,425.97015,476.34285714285716,22050,10503360,1232.7472370113007,0.011332508,3,2,7,7,8,7,6,5,2,4,Slendro,Alternating
slendro_melodic,True,0.1417981278426359,0.007871128,3.6339827,0.59326375,0.4554220907900574,0.054933941553509426,0.2494075230189732,1375.7865316893594,-0.1893458,484.91736,468.1128344671202,22050,10321888,1417.981278426359,0.007871128,7,1,8,8,5,4,7,6,1,5,Slendro,Melodic
slendro_spectral,True,0.12744668104261234,0.01216238,2.774331,0.3805822,0.4562155648593731,0.0537820033855846,0.2018231911770177,1255.7347121280663,0.72247034,564.7,468.0678458049887,22050,10320896,1274.4668104261234,0.01216238,6,4,4,4,6,3,4,3,4,7,Slendro,Spectral
